source,target,estimated_trips
CHN,HKG,98424336
HKG,CHN,98424336
MEX,USA,46348944
USA,MEX,46348944
CHN,MAC,43958808
MAC,CHN,43958808
DEU,POL,33688100
POL,DEU,33688100
CAN,USA,33183408
USA,CAN,33183408
ESP,GBR,30100192
GBR,ESP,29950378
DEU,ESP,18595180
ESP,DEU,18404888
ESP,FRA,17051584
FRA,ESP,17051584
AUT,DEU,14804927
DEU,AUT,14804927
CHN,KOR,14431413
MYS,SGP,14424548
SGP,MYS,14424548
KOR,CHN,14316077
FRA,ITA,13125731
ITA,FRA,13125731
DEU,FRA,13114614
FRA,DEU,13114614
CZE,POL,12891332
POL,CZE,12891332
DEU,ITA,12812672
ITA,DEU,12812672
POL,UKR,12348163
UKR,POL,12348163
JPN,KOR,10712301
KOR,JPN,10667441
GBR,DEU,10202705
DEU,GBR,10193783
FRA,GBR,10159020
GBR,FRA,10074992
RUS,UKR,10042897
UKR,RUS,10042897
ITA,GBR,10032371
GBR,ITA,10015141
BHR,SAU,9909506
SAU,BHR,9909506
IRL,GBR,9593030
GBR,IRL,9571733
CHN,THA,9570168
THA,CHN,9570168
TUR,DEU,9507188
DEU,TUR,9457335
DEU,NLD,9092100
NLD,DEU,9092100
JPN,CHN,9071418
CHN,JPN,9015159
GBR,USA,8484281
USA,GBR,8412081
ESP,ITA,8312278
ITA,ESP,8295162
FRA,IRL,8090296
IRL,FRA,8090296
ARE,IND,7679793
IND,ARE,7598551
CHE,FRA,6807833
FRA,CHE,6807833
NLD,GBR,6771308
HKG,MAC,6748405
MAC,HKG,6748405
POL,SVK,6740284
SVK,POL,6740284
GBR,NLD,6730050
FRA,LUX,6725337
LUX,FRA,6725337
CHN,VNM,5864121
VNM,CHN,5864121
FRA,USA,5794602
USA,FRA,5794602
IDN,MYS,5467683
MYS,IDN,5430593
EGY,SAU,5341778
BEL,FRA,5340223
FRA,BEL,5340223
GBR,POL,5340212
SAU,EGY,5317922
MYS,THA,5286999
THA,MYS,5286999
POL,GBR,5251430
CHN,USA,5220016
USA,CHN,5220016
KAZ,RUS,5151561
RUS,KAZ,5151561
CHE,DEU,5133178
DEU,CHE,5133178
PRT,GBR,5129814
GBR,PRT,5124017
IDN,SGP,5020195
SGP,IDN,5014144
FRA,NLD,4913189
NLD,FRA,4913189
JPN,USA,4819674
USA,JPN,4819674
ARE,SAU,4765258
SAU,ARE,4678376
KWT,SAU,4664882
SAU,KWT,4664882
DEU,DNK,4640270
DNK,DEU,4640270
AUT,ITA,4615269
ITA,AUT,4615269
DEU,USA,4593361
USA,DEU,4593361
ESP,NLD,4570842
CHE,GBR,4501371
GBR,CHE,4493867
NLD,ESP,4437445
HUN,ROU,4336026
ROU,HUN,4336026
USA,DOM,4199067
DOM,USA,4148463
CHE,ESP,4085902
ESP,CHE,4049828
BEL,NLD,3986486
NLD,BEL,3986486
ARG,CHL,3949188
CHL,ARG,3949188
JPN,HKG,3931094
PAK,SAU,3917027
NZL,AUS,3910742
ITA,USA,3910405
USA,ITA,3910405
SAU,IND,3905148
HKG,JPN,3865246
CHE,ITA,3856475
ITA,CHE,3856475
AUS,NZL,3853149
SAU,PAK,3828242
BEL,ESP,3827207
ESP,BEL,3822724
IND,SAU,3818484
PRT,FRA,3802714
FRA,PRT,3796950
CHN,SGP,3785556
SGP,CHN,3785556
